date,open,high,low,close,volume
7/26/17,46031.54,46106.72,45857.92,45908.39,175731536
7/27/17,45934.13,46025.07,45758.21,45905.76,158811760
7/28/17,44989.88,46060.55,44235.94,45912.03,327756640
7/31/17,46334.55,47111.54,45911.74,46010.45,319135008
8/1/17,46071.7,46623.91,46010.45,46533.43,256143024
8/2/17,46690.3,46989.27,46533.43,46949.04,367796032
8/3/17,47040.47,47167.63,46857.45,47084.34,455270400
8/4/17,47121.41,47241.17,46834.99,46877.37,137739904
8/7/17,46892.24,46929.2,46336.66,46465.66,241027456
8/8/17,46515.07,46517.55,45905.02,45979.7,205786000
8/9/17,46010.39,46101.08,45591.38,45998.81,213723120
8/10/17,46024.13,46213.14,45572.11,45634.02,175269184
8/11/17,45625.14,45634.02,45261.25,45288.49,113806568
8/15/17,45331.16,45419.52,43822.2,43899.45,191366624
8/16/17,43912.92,44332.51,43781.57,44186.96,187249056
8/17/17,44216.97,44257.26,43044.12,43136.06,167265136
8/18/17,43133.88,43187.09,42347.19,43078.38,188136352
8/21/17,43110.92,43135.01,42016.87,42153.38,153157824
8/22/17,42073.08,42291.15,41062.73,41983.16,217012704
8/23/17,42000.35,42949.9,41927.22,42910.79,166773168
8/24/17,42966.24,43173.22,42136.17,42268.62,184656896
8/25/17,42299.49,42784.72,41836.1,42641.75,177015056
8/28/17,42468.78,42641.75,41820.23,41974.22,103176704
8/29/17,41782.33,41974.22,41046.24,41233.08,130146304
8/30/17,41108.14,41558,41046.29,41323.65,132099808
8/31/17,41199.85,41362.87,40842.5,41206.99,70559904
9/5/17,41109.65,41833.7,41070.99,41779.2,139297808
9/6/17,41846.18,42054.07,41324.61,41389.99,200768496
9/7/17,41346.46,41477.84,40686.09,40958.65,147333568
9/8/17,41227.88,41635.74,40958.65,41401.02,140784736
9/11/17,41534.69,41552.05,41062.47,41126.83,94949048
9/12/17,41265.57,41411.18,41024.54,41279.3,128042208
9/13/17,41398.96,42346.23,41279.3,42310.12,173814384
9/14/17,42392.65,42732.51,42171.26,42683.57,217124512
9/15/17,42700.14,43014.42,42538.05,42787.19,200089424
9/19/17,42889.52,43297.41,42841.41,43253.26,218570000
9/20/17,43309.42,43435.92,43145.83,43347.03,280843264
9/21/17,43338.68,43386.73,42705.66,42775.04,204492256
9/22/17,42771.66,42921.13,42572.04,42750.19,157714864
9/25/17,42815.23,43087.07,42628.37,42743.65,242074240
9/26/17,42844.8,42957.71,42599.64,42666.23,145412896
9/27/17,42563.19,42666.23,42101.68,42290.15,228898272
9/28/17,42291.44,42456.53,42195.09,42362.87,140399232
9/29/17,42391,42543.2,42286.6,42409.27,300173440
10/2/17,42431.54,42434.82,41944.37,42018.9,112107360
10/3/17,42043.21,42043.21,41025.28,41115.78,121284096
10/4/17,41092.66,41179.88,39869.88,40461,192002944
10/5/17,40545.27,40819.44,40036.23,40468.49,150272672
10/6/17,40494.58,41343.78,40468.49,41312.59,147763104
10/9/17,41334.5,41336.43,41004.66,41099.99,123343088
10/10/17,41109.73,41112.27,40287.26,40610.72,184225824
10/11/17,40639.75,40776.97,40315.02,40503.68,129563192
10/12/17,40558.74,40791.91,39834.1,40237.53,137991424
10/13/17,40236.92,40237.53,39478.05,39846.78,153825056
10/16/17,39978.4,40813.53,39846.78,40791.39,124799112
10/17/17,40892.36,41353.23,40692.09,40724.96,166837616
10/18/17,40760.07,40872.48,40224.2,40733.45,138115136
10/19/17,40826.57,41614.28,40733.45,41558.07,232172896
10/20/17,41687.59,42155.72,41471.24,42087.89,261229824
10/23/17,42148.54,42161.8,41414.12,41483.54,153465632
10/24/17,41446.6,41483.54,40913.93,41291.68,143394016
10/25/17,41305.3,41626.86,41291.68,41564.71,102696416
10/26/17,41637.09,41745.76,41355.45,41409.49,139839904
10/27/17,41412.68,41420.05,40903.7,41105.4,133237688
10/30/17,41168.19,41173.38,40258.58,40324.32,98711760
10/31/17,40302.72,40324.32,39557.15,39617.19,139435552
11/1/17,39662.8,40558.97,39617.19,40453.64,116691920
11/2/17,40508.89,40842.25,40353.48,40498.87,116556240
11/3/17,40506.92,41115.5,40453.03,41064,115492176
11/6/17,41160.67,41232.17,40928.27,41030.77,75430880
11/7/17,41120.12,41262.45,41003.05,41049.22,106587856
11/8/17,41037.59,41293.8,40970.62,41259.16,97376208
11/9/17,41403.17,41851.33,41259.16,41790.16,161743040
11/10/17,41836.35,41836.35,41390.81,41435.7,128057800
