ticker,mkt,previous_close,open,high,low,close,,change,,,volume
FTMM,Reg,15.85,16.41,16.41,16,44.97,+,0.15,12,4951,"79,267.02"
GADT,Reg,8.65,8.7,8.95,8.68,4.7,+,0.03,108,374301,"3,304,140.49"
GAL,FUT,8.84,8.5,8.97,8.5,170.91,+,0.13,124,275500,"2,469,200.00"
GAL-AUG,FUT,8.75,8.55,8.96,8.55,318.9,+,0.09,170,334000,"2,954,540.00"
GAL-SEP,Reg,78,84.99,84.99,84.99,322.58,+,6.99,1,1,84.99
GAMON,Reg,3.83,3.94,3.94,3.75,320,-,-0.03,103,196849,"752,396.37"
GATI,Reg,1.45,1.35,1.5,1.35,31.33,+,0.05,2,2,2.85
GATM,Reg,53.84,55,58.68,55,197,+,1.16,11,24606,"1,365,416.60"
GATM-AUG,Reg,4.55,4.75,4.75,4.75,19.85,+,0.2,2,7,32.05
GCIL,Reg,16,16.01,16.99,16,20.1,+,0.99,6,302,"5,128.12"
GEMBLUEX,Reg,130,125,125,125,9.66,-,-5,1,100,"12,500.00"
GEMSPNL,Reg,175,175.05,178.79,171.99,67.88,-,-3,35,2944,"511,435.45"
GFIL,Reg,177.86,178.9,182.95,178.9,12,+,2.13,1570,727927,"132,110,591.65"
GGGL,Reg,9.56,9.99,9.99,9.97,12,+,0.42,9,40030,"398,699.31"
GGL,Reg,218.77,214.89,214.89,210,5.86,-,-3.88,6,1141,"242,236.48"
GGL-AUG,Reg,20.38,20.5,20.64,20.3,9,+,0.03,155,125222,"2,566,931.76"
GHGL,FUT,20.75,20.81,20.81,20.73,9.13,-,-0.02,13,33000,"685,780.00"
GHGL-AUG,FUT,20.5,20.57,20.63,20.53,26.49,+,0.03,11,20000,"411,055.00"
GHNI,Reg,11.4,11.5,11.5,11.25,26.8,-,-0.1,60,80895,"920,463.12"
GHNI-AUG,Reg,19.5,18,18,18,395.33,-,-1.5,1,500,"9,000.00"
GLAXO,Reg,20,20,20,20,398.81,#ERROR!,0,4,7802,"156,040.00"
GLPL,Reg,7.99,7.99,8.25,7.99,137.32,+,0.01,5,2500,"20,047.32"
GOC,Reg,10.82,10.7,10.7,9.83,149.88,-,-0.99,3,3,31.13
GRR,Reg,6.24,6.24,6.38,6.23,67.11,+,0.01,102,163631,"1,024,945.38"
GRYL,Reg,9.9,9.9,9.97,9.87,13.44,#ERROR!,0,323,426883,"4,230,345.54"
GSPM,FUT,10.06,10,10.13,9.97,5.97,-,-0.01,146,436000,"4,402,580.00"
GTYR,FUT,9.93,9.94,9.98,9.9,5.11,-,-0.03,218,399000,3969295
GUSM,Reg,26.29,26.4,26.7,26.2,43.18,-,-0.04,84,147597,"3,884,815.50"
GVGL,FUT,26.39,26.25,26.35,26.25,17.89,-,-0.04,4,10500,"276,625.00"
GWLC,Reg,272.65,274.8,285,274,41.49,+,6.05,1291,453035,"127,218,150.25"
HABSM,Reg,139.51,138.98,139,137.15,27.74,-,-1.51,29,51789,"7,181,893.24"
HAEL,Reg,13.91,13.6,13.6,13.5,68,-,-0.41,4,1000,"13,527.00"
HALEON,Reg,2.7,2.61,3.15,2.61,10.16,#ERROR!,0,25,20646,"55,778.78"
HASCOL,Reg,41.72,41.97,42.35,41.51,342.36,+,0.2,79,79638,"3,338,298.72"
HBL,Reg,2.7,2.32,2.55,2.32,6.67,-,-0.15,2,501,"1,277.32"
HBL-AUG,Reg,40.84,40.08,40.2,40,137.97,-,-0.64,18,7026,"281,806.68"
HBLTETF,Reg,30.01,30.1,30.5,30,139.8,-,-0.01,97,123815,"3,752,572.38"
HCAR,Reg,65.44,64,65.49,63.9,104.35,-,-1.54,29,1038,"66,417.40"
HCL,Reg,12.43,12.6,13.55,12.6,281.44,+,0.77,176,198579,"2,591,835.77"
HGFA,Reg,281.23,275.01,283,275.01,538.65,+,0.77,7,1206,"339,290.00"
HIFA,Reg,6.03,6.1,6.15,6.04,6.58,+,0.04,331,1007263,"6,134,188.95"
HINO,Reg,126.31,126.95,126.95,124.5,2.51,-,-1.81,635,672987,"84,646,145.47"
HINOON,FUT,129,128.5,128.65,127,267.13,-,-2,87,358500,"45,554,680.00"
HIRAT,FUT,126.62,126.25,126.89,125.01,671.15,-,-1.36,52,310500,"38,943,375.00"
HMB,Reg,101.45,0,0,0,3.52,#ERROR!,0,2,535000,51360000
HPL,Reg,286.31,288.4,294.9,288.4,68.29,+,3.94,662,151303,44075755.96
HSPI,Reg,421.88,422,433.99,415,1600,-,-5.88,16,217,"90,348.09"
HTL,Reg,6.27,6.95,6.95,6.66,11.5,+,0.52,46,371613,"2,492,303.03"
HUBC,Reg,2.53,2.76,2.89,2.7,37.2,+,0.26,41,59661,"163,901.83"
